Dia_Numero,Dia_Semana,Tema,Versiculos
1,Segunda,Recomeço,"2Co 5:17, Ez 36:26, Pv 28:13, Rm 12:2, Sl 51:10"
2,Terça,Foco e Autocontrole,"Pv 4:25-27, 1Co 9:25, Gl 6:9, Cl 3:2, Hb 12:1-2"
3,Quarta,Família,"Pv 1:8-9, Ef 6:2-3, Pv 13:20, 1Tm 5:8, Pv 17:17"
4,Quinta,Organização e Finanças,"Rm 13:8, Pv 21:5, Pv 22:7, Lc 14:28, Mt 6:33"
5,Sexta,Paz e Cura,"Sl 34:17-18, Jo 14:27, Sl 103:2-3, Tg 1:5, 1Pe 5:7"
6,Sábado,Esperança e Força,"Lm 3:22-23, Sl 37:5, Is 40:29-31, Js 1:9, Sl 121:1-2"
7,Domingo,Gratidão e Louvor,"Sl 118:17, 1Ts 5:16-18, Sl 23:1-3, Sl 100:4-5, Hc 3:18-19"
8,Segunda,Recomeço,"Is 43:18-19, Fp 3:13-14, Ef 4:22-24, Lm 3:22-23, Cl 3:9-10"
9,Terça,Foco e Autocontrole,"1Co 10:13, 2Tm 1:7, Tt 2:11-12, Pv 16:32, Fp 4:13"
10,Quarta,Família,"Js 24:15, Cl 3:18-21, Sl 127:3-5, Pv 22:6, 1Pe 3:7"
11,Quinta,Organização e Finanças,"Pv 3:9-10, 1Tm 6:6-10, Pv 13:11, Sl 37:21, Pv 27:23-24"
12,Sexta,Paz e Cura,"Fp 4:6-7, Mt 11:28-30, Is 26:3, Is 53:5, Sl 147:3"
13,Sábado,Esperança e Força,"Sl 27:1, Rm 15:4, Sl 42:11, Is 41:10, Hb 6:19"
14,Domingo,Gratidão e Louvor,"Sl 103:1-2, Cl 3:15-17, Sl 107:1, Ef 5:20, Sl 9:1"
15,Segunda,Recomeço,"1Pe 1:3, Jr 29:11, Ap 21:5, Is 65:17, Sl 40:1-3"
16,Terça,Foco e Autocontrole,"Tg 1:19-20, 1Pe 5:8, Pv 25:28, Rm 8:5-6, Ef 5:15-16"
17,Quarta,Família,"Sl 128:1-4, Ef 5:25, Pv 31:10-12, Hb 13:4, 1Jo 4:19"
18,Quinta,Organização e Finanças,"1Co 14:40, 2Co 9:6-7, Pv 10:4, Ec 11:2, Mt 25:21"
19,Sexta,Paz e Cura,"Jr 17:14, Sl 30:2, Sl 46:1-2, 2Ts 3:16, Jo 16:33"
20,Sábado,Esperança e Força,"Sl 62:5-6, 1Co 15:58, 2Ts 2:16-17, Sl 71:5, Dt 31:6"
21,Domingo,Gratidão e Louvor,"Sl 136:1, Fp 4:4, Sl 95:1-2, 1Cr 16:34, Sl 150:6"
22,Segunda,Recomeço,"Jo 3:3, Tt 3:5, Rm 6:4, Gl 2:20, 1Jo 1:9"
23,Terça,Foco e Autocontrole,"Sl 119:37, Mt 6:22, Cl 3:5, 2Pe 1:5-7, 1Co 6:12"
24,Quarta,Família,"Pv 15:1, Dt 6:6-7, 1Co 13:4-7, Sl 133:1, Pv 14:1"
25,Quinta,Organização e Finanças,"Pv 24:3-4, Fp 4:19, Lc 16:10-11, Dt 8:18, Pv 6:6-8"
26,Sexta,Paz e Cura,"Sl 91:1-4, Ex 15:26, Pv 17:22, Rm 15:13, Sl 6:2"
27,Sábado,Esperança e Força,"Sl 130:5, Rm 8:24-25, Sl 146:5, Is 12:2, Sl 28:7"
28,Domingo,Gratidão e Louvor,"Sl 30:11-12, Sl 63:3-4, Hb 12:28, Sl 111:1, Ap 7:12"
29,Segunda,Recomeço,"Ez 11:19, Sl 103:12, Zc 3:4, Is 1:18, Mq 7:19"
30,Terça,Foco e Autocontrole,"Pv 12:1, Pv 13:3, Mt 7:13-14, Lc 9:62, 1Ts 4:4"
31,Quarta,Família,"Gn 2:24, Ex 20:12, Mt 19:5-6, Mc 10:9, Rm 12:10"
32,Quinta,Organização e Finanças,"Gn 41:34-36, Pv 11:24-25, Pv 14:23, Ec 5:10, Mt 6:19-21"
33,Sexta,Paz e Cura,"2Rs 20:5, Sl 107:20, Pv 4:20-22, Is 41:10, Jr 30:17"
34,Sábado,Esperança e Força,"Ex 15:2, 1Sm 2:4, Ne 8:10, Sl 18:2, Sl 22:4-5"
35,Domingo,Gratidão e Louvor,"1Sm 2:1-2, 2Sm 22:50, 1Cr 29:13, Ed 3:11, Ne 12:46"
36,Segunda,Recomeço,"Rm 8:1, 1Co 6:11, Ef 2:4-5, Cl 2:13, Tg 4:8"
37,Terça,Foco e Autocontrole,"Hb 12:11, Tg 3:2, 1Pe 1:13, 1Jo 2:15-16, Jd 1:20"
38,Quarta,Família,"Pv 11:29, Pv 12:4, Ec 4:9-12, Ct 8:6-7, 1Co 11:3"
39,Quinta,Organização e Finanças,"Mc 12:41-44, Lc 12:15, Lc 19:17, Rm 12:11, 1Co 4:2"
40,Sexta,Paz e Cura,"Jr 33:6, Mt 8:17, Mt 9:35, Mc 5:34, Lc 8:48"
41,Sábado,Esperança e Força,"Sl 31:24, Sl 33:20-22, Sl 39:7, Sl 46:1-3, Sl 59:16"
42,Domingo,Gratidão e Louvor,"Sl 7:17, Sl 28:7, Sl 34:1, Sl 69:30, Sl 75:1"
43,Segunda,Recomeço,"Sl 32:5, Pv 3:5-6, 2Co 4:16, Jb 8:7, Is 40:31"
44,Terça,Foco e Autocontrole,"Pv 15:32, Pv 21:23, Ec 7:9, Mt 26:41, Rm 13:14"
45,Quarta,Família,"Ef 5:33, 1Ts 4:9, 1Tm 3:4-5, Tt 2:3-5, Hb 12:9"
46,Quinta,Organização e Finanças,"2Co 8:12, 2Ts 3:10, 1Tm 5:18, Hb 13:5, Tg 5:1-3"
47,Sexta,Paz e Cura,"At 10:38, Rm 8:28, 2Co 12:9, Tg 5:14-15, 1Pe 2:24"
48,Sábado,Esperança e Força,"Sl 73:26, Sl 119:114, Pv 18:10, Pv 24:10, Is 33:2"
49,Domingo,Gratidão e Louvor,"Sl 86:12, Sl 92:1-2, Sl 105:1, Sl 118:28, Sl 145:1-3"
50,Segunda,Recomeço,"Jr 31:33, Hb 8:12, At 3:19, Lc 15:20, Rm 5:8"
51,Terça,Foco e Autocontrole,"1Co 9:27, 2Co 10:5, Gl 5:22-23, Ef 4:26-27, Fp 3:12"
52,Quarta,Família,"1Pe 3:1, 1Pe 3:8-9, 1Jo 3:15, 1Jo 4:20, 2Jo 1:5"
53,Quinta,Organização e Finanças,"Dt 28:12, Ml 3:10, Pv 12:11, Pv 13:22, Pv 21:20"
54,Sexta,Paz e Cura,"Sl 4:8, Sl 29:11, Sl 119:165, Pv 3:24, Is 9:6"
55,Sábado,Esperança e Força,"Is 40:31, Jr 14:8, Jr 29:11, Lm 3:24, Zc 9:12"
56,Domingo,Gratidão e Louvor,"Is 12:4, Is 25:1, Is 38:19, Jr 33:11, Dn 2:23"
