Dia_Numero,Dia_Semana,Tema,Versiculos,Texto_Completo
1,Segunda,Recomeço,"2Co 5:17, Ez 36:26, Sl 51:10","2Co 5:17 - Portanto, se alguém está em Cristo, é nova criação. As coisas antigas já passaram; eis que surgiram coisas novas! | Ez 36:26 - Darei a vocês um coração novo e porei um espírito novo em vocês; tirarei de vocês o coração de pedra e lhes darei um coração de carne. | Sl 51:10 - Cria em mim um coração puro, ó Deus, e renova dentro de mim um espírito estável."
2,Terça,Foco e Autocontrole,"Pv 4:25-27, Gl 6:9, Cl 3:2","Pv 4:25-27 - Olhe sempre para a frente, mantenha o olhar fixo no que está diante de você. Veja bem por onde anda, e os seus passos serão seguros. Não se desvie nem para a direita nem para a esquerda; afaste os seus pés da maldade. | Gl 6:9 - E não nos cansemos de fazer o bem, pois no tempo próprio colheremos, se não desanimarmos. | Cl 3:2 - Mantenham o pensamento nas coisas do alto, e não nas coisas terrenas."
3,Quarta,Família,"Ef 6:2-3, Pv 17:17, 1Tm 5:8","Ef 6:2-3 - Honra teu pai e tua mãe — este é o primeiro mandamento com promessa — para que tudo te corra bem e tenhas longa vida sobre a terra. | Pv 17:17 - O amigo ama em todos os momentos; é um irmão na adversidade. | 1Tm 5:8 - Se alguém não cuida de seus parentes, e especialmente dos de sua própria família, negou a fé e é pior que um descrente."
4,Quinta,Organização e Finanças,"Pv 21:5, Lc 14:28, Mt 6:33","Pv 21:5 - Os planos bem elaborados levam à fartura; mas o apressado sempre acaba na miséria. | Lc 14:28 - Qual de vocês, se quiser construir uma torre, primeiro não se assenta e calcula o preço, para ver se tem dinheiro suficiente para completá-la? | Mt 6:33 - Busquem, pois, em primeiro lugar o Reino de Deus e a sua justiça, e todas essas coisas lhes serão acrescentadas."
5,Sexta,Paz e Cura,"Sl 34:17-18, Jo 14:27, 1Pe 5:7","Sl 34:17-18 - Os justos clamam, o Senhor os ouve e os livra de todas as suas tribulações. O Senhor está perto dos que têm o coração quebrantado e salva os de espírito abatido. | Jo 14:27 - Deixo-lhes a paz; a minha paz lhes dou. Não lha dou como o mundo a dá. Não se perturbe o seu coração, nem tenham medo. | 1Pe 5:7 - Lancem sobre ele toda a sua ansiedade, porque ele tem cuidado de vocês."
6,Sábado,Esperança e Força,"Lm 3:22-23, Is 40:29-31, Js 1:9","Lm 3:22-23 - Graças ao grande amor do Senhor é que não somos consumidos, pois as suas misericórdias são inesgotáveis. Renovam-se a cada manhã; grande é a tua fidelidade! | Is 40:29-31 - Ele fortalece o cansado e dá grande vigor ao que está sem forças. Até os jovens se cansam e ficam exaustos, mas aqueles que esperam no Senhor renovam as suas forças. Voam alto como águias; correm e não ficam exaustos, andam e não se cansam. | Js 1:9 - Não fui eu que ordenei a você? Seja forte e corajoso! Não se apavore nem desanime, pois o Senhor, o seu Deus, estará com você por onde você andar."
7,Domingo,Gratidão e Louvor,"1Ts 5:16-18, Sl 100:4-5, Sl 23:1-3","1Ts 5:16-18 - Alegrem-se sempre. Orem continuamente. Dêem graças em todas as circunstâncias, pois esta é a vontade de Deus para vocês em Cristo Jesus. | Sl 100:4-5 - Entrem por suas portas com ações de graças e em seus átrios com louvor; dêem-lhe graças e bendigam o seu nome. Pois o Senhor é bom e o seu amor leal é eterno; a sua fidelidade permanece por todas as gerações. | Sl 23:1-3 - O Senhor é o meu pastor; de nada terei falta. Em verdes pastagens faz-me repousar e conduz-me a águas tranquilas; restaura-me o vigor. Guia-me nas veredas da justiça por amor do seu nome."
8,Segunda,Recomeço,"Is 43:18-19, Fp 3:13-14, Ef 4:22-24","Is 43:18-19 - Esqueçam as coisas passadas; não fiquem pensando no que passou. Vejam, estou fazendo uma coisa nova! Ela já está surgindo! Vocês não a reconhecem? Até no deserto vou abrir um caminho e riachos no ermo. | Fp 3:13-14 - Irmãos, não penso que eu mesmo já o tenha alcançado, mas uma coisa faço: esquecendo-me das coisas que ficaram para trás e avançando para as que estão adiante, prossigo para o alvo, a fim de ganhar o prêmio do chamado celestial de Deus em Cristo Jesus. | Ef 4:22-24 - Quanto à antiga maneira de viver, vocês foram ensinados a despir-se do velho homem, que se corrompe por desejos enganosos, a serem renovados no modo de pensar e a revestir-se do novo homem, criado para ser semelhante a Deus em justiça e em santidade provenientes da verdade."
9,Terça,Foco e Autocontrole,"2Tm 1:7, Pv 16:32, Fp 4:13","2Tm 1:7 - Pois Deus não nos deu espírito de covardia, mas de poder, de amor e de equilíbrio. | Pv 16:32 - Melhor é o homem paciente do que o guerreiro, mais vale controlar o seu espírito do que conquistar uma cidade. | Fp 4:13 - Tudo posso naquele que me fortalece."
10,Quarta,Família,"Js 24:15, Cl 3:20-21, Pv 22:6","Js 24:15 - Se, porém, não lhes agrada servir ao Senhor, escolham hoje a quem irão servir. Mas, eu e a minha família serviremos ao Senhor. | Cl 3:20-21 - Filhos, obedeçam a seus pais em tudo, pois isso agrada ao Senhor. Pais, não irritem seus filhos, para que eles não fiquem desanimados. | Pv 22:6 - Ensina a criança no caminho em que deve andar, e ainda quando for velho não se desviará dele."
11,Quinta,Organização e Finanças,"Pv 3:9-10, 1Tm 6:6-8, Pv 13:11","Pv 3:9-10 - Honre o Senhor com todos os seus recursos e com os primeiros frutos de todas as suas plantações; os seus celeiros ficarão plenamente cheios, e os seus barris transbordarão de vinho. | 1Tm 6:6-8 - De fato, a piedade com contentamento é grande fonte de lucro, pois nada trouxemos para este mundo e dele nada podemos levar; mas, se temos comida e vestuário, estejamos contentes com isso. | Pv 13:11 - O dinheiro ganho com desonestidade diminuirá, mas quem o ajunta aos poucos terá cada vez mais."
12,Sexta,Paz e Cura,"Fp 4:6-7, Mt 11:28-30, Is 53:5","Fp 4:6-7 - Não andem ansiosos por coisa alguma, mas em tudo, pela oração e súplicas, e com ação de graças, apresentem seus pedidos a Deus. E a paz de Deus, que excede todo o entendimento, guardará os seus corações e as suas mentes em Cristo Jesus. | Mt 11:28-30 - Venham a mim, todos os que estão cansados e sobrecarregados, e eu lhes darei descanso. Tomem sobre vocês o meu jugo e aprendam de mim, pois sou manso e humilde de coração, e vocês encontrarão descanso para as suas almas. Pois o meu jugo é suave e o meu fardo é leve. | Is 53:5 - Mas ele foi traspassado por causa das nossas transgressões, foi esmagado por causa de nossas iniquidades; o castigo que nos trouxe a paz estava sobre ele, e pelas suas feridas fomos curados."
13,Sábado,Esperança e Força,"Sl 27:1, Is 41:10, Hb 6:19","Sl 27:1 - O Senhor é a minha luz e a minha salvação; de quem terei temor? O Senhor é a fortaleza da minha vida; de quem terei medo? | Is 41:10 - Não temas, porque eu sou contigo; não te assombres, porque eu sou o teu Deus; eu te fortaleço, e te ajudo, e te sustento com a destra da minha justiça. | Hb 6:19 - Temos esta esperança como âncora da alma, firme e segura, a qual penetra no santuário interior, por trás do véu."
14,Domingo,Gratidão e Louvor,"Sl 103:1-2, Cl 3:15-17, Ef 5:20","Sl 103:1-2 - Bendize, ó minha alma, ao Senhor, e tudo o que há em mim bendiga o seu santo nome. Bendize, ó minha alma, ao Senhor, e não te esqueças de nem um só de seus benefícios. | Cl 3:15-17 - Que a paz de Cristo seja o juiz em seus corações, visto que vocês foram chamados para viver em paz, como membros de um só corpo. E sejam agradecidos. Habite ricamente em vocês a palavra de Cristo. E tudo o que fizerem, seja em palavra ou em ação, façam-no em nome do Senhor Jesus, dando por meio dele graças a Deus Pai. | Ef 5:20 - Dando sempre graças por tudo a nosso Deus e Pai, em nome de nosso Senhor Jesus Cristo."
